PROCESSED TRAINING DATA: FORMAT = X, Y, Z, Angle, Axis X, Axis Y, Axis Z
178.229, -440.111, 3853.92, 2.220746577203338, -0.560876211744428, 0.5253674874812357, -0.63984910580298
167.246, -650.102, 3821.25, 2.3128796356362056, -0.5860796181262476, 0.46229546196423127, -0.665427371742604
201.988, -617.059, 3824.3, 2.9185182864269428, 0.7991733773868758, -0.592305821107532, -0.10244865620488434
335.73, -575.492, 3828.6, 1.9774795685256954, 0.8584208568789644, -0.3732136554676435, -0.35188805016320673
396.067, -312.297, 3849.94, 1.582412229173063, 0.7981379269653828, -0.5232721365873281, -0.2986002689394869
378.202, -94.9271, 3785.8, 2.0863029706423766, 0.6956541101315421, -0.0007956210694225258, -0.7183764514822337
344.292, -36.9775, 3852.13, 2.348324534725104, 0.7397198499477352, 0.12114053222553967, -0.6619210791668544
339.634, 4.40503, 3949.51, 2.348324534725104, 0.7397198499477352, 0.12114053222553967, -0.6619210791668544
318.008, -39.1354, 3897.23, 1.309303548210898, 0.7878524549873084, 0.5620931705967174, -0.2516739492657129
136.434, -614.08, 3831.0, 2.753426461245636, -0.6053900206135664, -0.7923267021467783, 0.07563940776285885
18.5403, -569.668, 3858.29, 2.067391051276803, -0.4174684935617702, -0.7873343101749016, 0.4536791166724316
-29.0808, -322.818, 3972.16, 2.218109207369537, -0.4893833572114912, -0.6734781944123682, 0.5540135840712448
-54.6395, -95.2473, 3995.79, 2.2796669368080784, -0.8400340653170942, 0.13159772415688478, -0.5263314622018754
-82.1847, -22.263, 4060.92, 1.3466358134908583, -0.6124956286301151, 0.5993329910574051, -0.515411554720288
-37.5355, 64.9154, 4025.65, 1.3466358134908583, -0.6124956286301151, 0.5993329910574051, -0.515411554720288
-24.6743, 20.9489, 4023.36, 0.9478067422261623, -0.7279138144736939, -0.6716669347871104, 0.13785865011686635
254.035, -137.885, 3951.99, 2.188563140659545, -0.6936537361609137, 0.4034902239152311, -0.5966909866210836
247.384, 233.191, 4079.41, 2.4486202463492726, -0.732759450625328, 0.27297432646649755, -0.6233366703551375
216.681, 521.639, 4317.08, 2.4287789552620844, -0.7347857615222518, 0.2741101344346097, -0.6204462256025132
234.513, 699.451, 4274.85, 2.6640829797162655, 0.7592926022669492, 0.23562077668869102, 0.6065950821885245
87.3152, -135.626, 3919.0, 2.16631368155182, 0.6193878170177296, 0.5480520367422613, 0.5621367246076975
113.846, 253.865, 3883.81, 2.0974697142325414, 0.5997960834681915, 0.5901248000694661, 0.5403678178788877
138.056, 631.947, 3892.57, 2.2708212257499953, 0.5451694487697567, 0.5944731333836383, 0.5910938722513699
122.789, 723.886, 3751.66, 1.7445807273590408, 0.07038437394419342, 0.9975195970632078, 0.0008326940252378127
